Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,R_squared,Alpha_pval,MKT_pval,SMB_pval,HML_pval
AAPL,0.006682496086871498,1.1412865494085351,-0.11062927260381451,-0.4129698237944869,0.5616719887814541,0.3182538012919071,2.2719886803111392e-12,0.6275664235028945,0.0066599656954716095
AMZN,0.0035598336137821,1.1500977508255388,0.09263331031525128,-0.9375029058733543,0.636038840709586,0.6052039136297709,5.1362516616678436e-12,0.6935636131624919,4.4232517908587227e-08
GOOGL,0.01235081829843288,1.0215957713452037,-0.08637579745833095,-0.27513388639525627,0.42392429554557676,0.11327539631072565,7.35183305564054e-09,0.7435275356727511,0.11200824999556414
META,0.008519480133780967,1.3022329520210367,-0.7336326226573109,-0.5797906226268719,0.3560638755664888,0.46230256442052287,3.8520504318197874e-07,0.0666515934620489,0.026605884853306033
TSLA,0.03139977713682554,2.0883935168672605,1.802572352269588,-1.357427553530684,0.5142268552838709,0.0800865103688806,1.3843317961554887e-07,0.003921317111141138,0.0009362794004100838
MSFT,0.003514160004815392,0.973931049087559,-0.5004054020464411,-0.5844229200153115,0.6812801662075586,0.4509504135437268,8.645944610258608e-16,0.002346739508383304,3.044403782754192e-07
JNJ,0.0009570301437226356,0.49296635785732823,-0.26233053959052677,0.3217904496810693,0.27681316518816945,0.8627841419344296,3.321355719435229e-05,0.16834031605630698,0.01060746258435052
JPM,0.0015895907473264166,1.0871561636918472,0.1380533053530302,0.7120501943338355,0.7386295018382951,0.742829971051971,4.1920575508627936e-17,0.40510042847895156,6.060820083576324e-09
XOM,0.005719360964440761,0.8257613611049449,-0.10618849229899224,1.216865394776241,0.526514576777973,0.474005990053876,2.2240057331239744e-06,0.6967253067445982,2.1358554926647554e-09
PG,-0.0029798751915132227,0.5042705364523257,-0.7168608556118039,0.1744506416142391,0.3133979546662192,0.571507812054336,9.522588303516301e-06,0.0001560250355701116,0.13833916566416374
KO,-0.0031097199548437526,0.6006284640457574,-0.610256588437271,0.43905561022841577,0.4434535781307527,0.5281656718731154,5.859984223002765e-08,0.000521286427788953,0.00014171417422506545
