Date,AAPL,AMZN,GOOGL,META,TSLA,MSFT,JNJ,JPM,XOM,PG,KO,Mkt-RF,SMB,HML,RF
2020-02-29,-0.11470180883795389,-0.06221372013363058,-0.06527872046689664,-0.046753336096782894,0.02677646887053875,-0.045688138952106216,-0.09090147161785744,-0.12277136986106096,-0.16003736521797085,-0.09139792867347873,-0.08407542294985781,-0.0815,0.0108,-0.0382,0.0012
2020-03-31,-0.0697612312958047,0.035020571318223226,-0.13238763909737472,-0.13337149330424236,-0.2155570713684315,-0.026541545975052427,-0.024910669078437087,-0.2246146529090315,-0.2618582798873479,-0.028525947360080295,-0.16548745329604364,-0.13369999999999999,-0.046900000000000004,-0.1383,0.0012
2020-04-30,0.15537401048790933,0.2689001176660719,0.159000089175374,0.22727824182505296,0.492137319488021,0.13632603356266193,0.14420819090363857,0.07469834041945456,0.223861043462384,0.07869140947382647,0.037062209481982133,0.136,0.025,-0.0134,0.0
2020-05-31,0.08509394597154163,-0.012784941240091885,0.06446864510845907,0.09955549170516642,0.06793886833783369,0.02539122478324951,-0.0017254034536334784,0.016186142918765523,-0.002547348926203008,-0.016543732203731176,0.01721496502465758,0.0557,0.024,-0.05,0.0001
2020-06-30,0.14738610506448646,0.12956672853391127,-0.010791604714722736,0.00879647106286563,0.2931856328270819,0.11055960812780263,-0.054588249327306326,-0.033398241840911,-0.016494300013909946,0.03148742716328656,-0.03414952274825178,0.0245,0.026699999999999998,-0.0217,0.0001
2020-07-31,0.16513161574748336,0.1471136218500213,0.049292986673867834,0.11714442878080322,0.3250108843981532,0.007370432206577737,0.03647865333586364,0.03744100827455954,-0.05903415080742358,0.1035160146062093,0.05729676723275268,0.0583,-0.0235,-0.0144,0.0001
2020-08-31,0.21656949769148204,0.09046103369298208,0.0951509663346739,0.15583249213544326,0.7414521252787116,0.10275191966774933,0.05948833012698418,0.03673434497354777,-0.03213075719793679,0.054987978080480726,0.0484755499521623,0.0762,-0.002,-0.0302,0.0001
2020-09-30,-0.10252634555917317,-0.08757859185260553,-0.10059946679234943,-0.1067530928844268,-0.13908741409927106,-0.06739680772549028,-0.029528307470554016,-0.039125622306444674,-0.14046060736029642,0.004771309152159731,0.0048384506116594395,-0.0364,0.0006,-0.027200000000000002,0.0001
2020-10-31,-0.06001195611386945,-0.03575408533520552,0.10269496133934308,0.004619938402385726,-0.09549891131606025,-0.037369843979925266,-0.07905716865863754,0.02783574171590364,-0.04981089354386137,-0.008121215229023537,-0.026534389810319303,-0.0208,0.0434,0.0425,0.0001
2020-11-30,0.09549311981242803,0.043439868865324804,0.08556976013271234,0.052677708060974604,0.4627358021475634,0.06006051441992555,0.06254317562780609,0.20236614586643187,0.19711682924235197,0.012910205567294275,0.08207636212263325,0.1245,0.0581,0.0209,0.0001
2020-12-31,0.11457333446057638,0.028058383014484267,-0.001003123107469972,-0.013756108537239742,0.24325228028976542,0.039005861585806434,0.08778027157233281,0.0779607503612203,0.08103872237057241,0.0019444036007523202,0.06279073304490645,0.0463,0.0501,-0.0168,0.0001
2021-01-31,-0.005501231022378761,-0.01557601223652838,0.04263283528267814,-0.054290476289584166,0.12450585757436827,0.04289197446487436,0.036535843002615476,0.01988395469819082,0.08782093946301117,-0.07299610841370541,-0.12199136133271848,-0.0007000000000000001,0.07139999999999999,0.0322,0.0
2021-02-28,-0.07971199213190194,-0.03532841376742368,0.10646520202956511,-0.002748316517842686,-0.14874045049393914,0.004118130631311612,-0.022570173982985664,0.14377860890791738,0.23312501329440427,-0.03650260600293731,0.01744553530582227,0.0281,0.0202,0.07200000000000001,0.0
2021-03-31,0.0073394350809339315,0.00037178414851712915,0.020084809427605377,0.143272909630217,-0.011206569460840976,0.014587931430789292,0.03717017802931899,0.03438194825859742,0.0268532071073897,0.09633269701493208,0.08488942219187656,0.0316,-0.0233,0.0735,0.0
2021-04-30,0.07621811606837747,0.12066273709568343,0.14107994932765444,0.10372445929294116,0.06214724771921709,0.06960171476053789,-0.009857043731510307,0.016329769210132294,0.025255264420077195,-0.008538459399945686,0.02409388180532379,0.0495,-0.0319,-0.0102,0.0
2021-05-31,-0.050497197880621236,-0.07047025525869377,0.0014233730882862172,0.011228051467873978,-0.11871335524117266,-0.007627196343869436,0.04655537217032912,0.06781136865418813,0.034597210143245904,0.010718160454360692,0.024268325595425688,0.003,-0.002,0.0704,0.0
2021-06-30,0.09910884579443335,0.06735498737093981,0.03603958395061291,0.05773741876420546,0.08713734718910104,0.08498840798553386,-0.02664688436484519,-0.05297154953274774,0.08069203024956462,0.0005931213611127806,-0.013967731180763665,0.0274,0.017,-0.0786,0.0
2021-07-31,0.0649824082842474,-0.032722282722282725,0.10350608121382066,0.024704535435420283,0.01103427987887895,0.051716924348412574,0.04528318566904299,-0.01855050827785787,-0.08734948195602643,0.060731876908615146,0.05396395015034261,0.0134,-0.0393,-0.0179,0.0
2021-08-31,0.04248966955219391,0.043034169499993835,0.07400909369230013,0.06477694243068255,0.07060538379906944,0.06159079521496058,0.01137520616369625,0.05382775551545427,-0.03864517447678795,0.001124992751722731,-0.012624584412511353,0.0294,-0.0032,-0.0023,0.0
2021-09-30,-0.06803683711308905,-0.05351810876292584,-0.07616924367376587,-0.1054087919691471,0.05404233150359339,-0.06611850466901459,-0.0671749721355126,0.02338262110733136,0.07887031937780042,-0.018189853466923478,-0.06116169813885797,-0.044000000000000004,0.0066,0.0512,0.0
2021-10-31,0.058657278835707594,0.02660245759664326,0.10749890347053448,-0.04661314795100724,0.436529595729082,0.17629056615091998,0.008545019548947819,0.04413030278838348,0.09605577763379292,0.029158823449937588,0.07432853970931141,0.0663,-0.0226,-0.0053,0.0
2021-11-30,0.10508182825682866,0.039923701306487036,-0.041531003778417785,0.0027506384155593366,0.02761218887377903,-0.001282188288385555,-0.036399006651631316,-0.06510069172071586,-0.05934229040900074,0.01112012697718745,-0.06232521733143248,-0.0158,-0.0131,-0.0037,0.0
2021-12-31,0.07422873690710663,-0.04925196878828486,0.020821375219745475,0.03664542115979752,-0.07685451947850863,0.01733281633164352,0.09709492654031737,-0.003022341661485073,0.022560058843901443,0.13141502369736746,0.12888470459580104,0.0323,-0.0163,0.0325,0.0001
2022-01-31,-0.015712098221667747,-0.10282991021845667,-0.06591922321393962,-0.06864867462605506,-0.11360931817914044,-0.07534488448488141,0.007131559370667784,-0.055947626380932425,0.24137938018761518,-0.013838469939090214,0.030400299674844034,-0.0616,-0.0593,0.1286,0.0
2022-02-28,-0.05406588865317585,0.026672518265588474,-0.0018215801992185199,-0.32634236368391534,-0.0707681586632628,-0.03721215853411719,-0.03867640958537277,-0.04576015065362615,0.043830272053822394,-0.028419889046626845,0.02016064601091805,-0.022799999999999997,0.0216,0.030600000000000002,0.0
2022-03-31,0.057473271042634444,0.061437285030015776,0.029694794420303428,0.05368911379501795,0.2380088093327557,0.031861938743146245,0.07692777071728418,-0.038645764710375285,0.053175236032804385,-0.019821954558894572,0.0037691008592217745,0.0308,-0.0155,-0.019,0.0
2022-04-30,-0.09713056001435616,-0.2375250931362105,-0.17946683225619375,-0.09844405879750662,-0.19194510982164714,-0.09986701260919373,0.018224683658129237,-0.11792313199907778,0.032207400870764236,0.05661515488312174,0.04209682366453937,-0.0941,-0.013500000000000002,0.061799999999999994,0.0
2022-05-31,-0.05449629503037179,-0.03276431760316634,-0.0030453099570594278,-0.03406979377804564,-0.1291974857378615,-0.018076988133356786,0.0012393197576969772,0.10782481370496466,0.13763461864943372,-0.07891627790299638,-0.0190374200917387,-0.0034000000000000002,-0.0184,0.08439999999999999,0.0003
2022-06-30,-0.08142965951084657,-0.11645921262241288,-0.04218460422439063,-0.16726921249121496,-0.11188774122303657,-0.05532085809435927,-0.011251606152907656,-0.1483777494958416,-0.10791652876550517,-0.02765774711082769,-0.00024397747492266308,-0.084,0.0207,-0.06,0.0006
2022-07-31,0.18863360695043863,0.27059597129750057,0.06751839490855072,-0.013333334603855329,0.32376526434081954,0.09309673635057347,-0.016844100631997927,0.033482365785949764,0.1318308212585515,-0.02766668680423867,0.020028403888866064,0.09570000000000001,0.028399999999999998,-0.0415,0.0008
